code,case,ky_code,ky_gx,t_end,gamma_code,omega_code,drift,settled,gamma_gx,omega_gx,gamma_crosscheck_code,wall_s,np,rc
stella,stella_M_ky0.40_r1,,,,,,,error:IndexError,,,,nan,nan,running
stella,stella_M_ky0.40_r2,,,,,,,error:IndexError,,,,nan,nan,running
stella,stella_M_ky0.40_r3,,,,,,,error:IndexError,,,,nan,nan,running
stella,stella_M_ky0.40_r4,,,,,,,error:IndexError,,,,nan,nan,running
stella,stella_M_ky0.50_r1,,,,,,,error:IndexError,,,,nan,nan,running
stella,stella_M_ky0.50_r2,,,,,,,error:IndexError,,,,nan,nan,running
stella,stella_M_ky0.50_r3,,,,,,,error:IndexError,,,,nan,nan,running
stella,stella_M_ky0.50_r4,,,,,,,error:IndexError,,,,nan,nan,running
stella,stella_M_ky0.55_r1,0.77782,0.5500,105.0,0.126341,0.342690,+1.37e-02,no,0.178673,0.484636,0.128663,nan,nan,running
stella,stella_M_ky0.55_r2,,,,,,,error:IndexError,,,,nan,nan,running
stella,stella_M_ky0.55_r3,,,,,,,error:IndexError,,,,nan,nan,running
stella,stella_M_ky0.55_r4,,,,,,,error:IndexError,,,,nan,nan,running
