shape,steps,state_elements,serial_median_s,shard_map_one_device_median_s,shard_map_two_device_median_s,shard_map_route_overhead,parallel_scaling_vs_one_device,parallel_efficiency_vs_one_device,net_speedup_vs_serial,final_state_max_abs_error,identity_passed
"[4, 8, 96, 96, 48]",4,14155776,0.03425145102664828,0.03416070528328419,0.017270468175411224,0.9973506014885766,1.9779837429028349,0.9889918714514174,1.9832381310550504,0.0,True
"[4, 16, 96, 96, 32]",4,18874368,0.04433688707649708,0.04455138463526964,0.022165445145219564,1.0048379029949144,2.009947661478753,1.0049738307393765,2.0002705466106665,0.0,True
"[4, 16, 128, 128, 32]",4,33554432,0.06951405201107264,0.06866054376587272,0.03569671418517828,0.9877217883218207,1.9234415641084812,0.9617207820542406,1.9473515587587535,0.0,True
"[4, 16, 96, 96, 64]",4,37748736,0.08947714418172836,0.08907407708466053,0.04445827193558216,0.9954953066422281,2.003543394887783,1.0017716974438915,2.0126095839122207,0.0,True
"[4, 16, 128, 128, 64]",4,67108864,0.13718197820708156,0.13738703401759267,0.07027827482670546,1.0014947722229341,1.9549004917432344,0.9774502458716172,1.9519827221904567,0.0,True
