shape,steps,state_elements,serial_median_s,shard_map_one_device_median_s,shard_map_two_device_median_s,shard_map_route_overhead,parallel_scaling_vs_one_device,parallel_efficiency_vs_one_device,net_speedup_vs_serial,final_state_max_abs_error,identity_passed
"[4, 8, 96, 96, 48]",4,14155776,0.033444734290242195,0.046619391068816185,0.023264281917363405,1.3939232007119822,2.0039041494773833,1.0019520747386916,1.4376001120103588,7.450580596923828e-09,True
"[4, 16, 96, 96, 32]",4,18874368,0.04435455612838268,0.06087721465155482,0.03025489393621683,1.3725132199575596,2.0121443750520416,1.0060721875260208,1.4660291396787133,7.450580596923828e-09,True
"[4, 16, 128, 128, 32]",4,33554432,0.06864813389256597,0.10755441524088383,0.053988324012607336,1.5667492929845117,1.99217918333171,0.996089591665855,1.2715366729394169,7.450580596923828e-09,True
"[4, 16, 96, 96, 64]",4,37748736,0.08788361074402928,0.12134379427880049,0.06090318504720926,1.3807329176793575,1.9924047352324927,0.9962023676162464,1.4430051675607125,7.450580596923828e-09,True
"[4, 16, 128, 128, 64]",4,67108864,0.13583477633073926,0.2156085129827261,0.10756104486063123,1.5872850738734874,2.0045222995192535,1.0022611497596268,1.2628621868330008,7.450580596923828e-09,True
