case,design,seed,mean,std,tau,neff,sem,window_in_tau,half_shift_percent,trend_percent,stationary,elapsed_seconds
dt025,baseline,0,11.263917152263039,1.20660533671655,12.711399180269753,15.749274305753616,0.3040429714108782,31.419802239978463,-0.2037936622655157,-3.2553348424013677,1,310.0864461939782
dt025,baseline,1,10.412580023104015,1.2652202298899897,14.273807912447719,14.02536125804357,0.3378384680831088,27.980595709796923,-12.591828150386212,-20.92260875605983,0,304.29058446828276
dt025,baseline,2,10.692253010412282,0.7289462212100422,11.562970322693033,17.31348493622824,0.1751875512870643,34.540402447775335,2.25408524076859,5.579669149299161,1,304.3204707647674
dt025,baseline,3,10.67273285954468,0.9417105177644546,7.51581916824836,26.636525975206187,0.18246460444205767,53.13986932053634,-1.723660390716637,-3.9508009641706363,1,304.230260130018
dt025,candidate,0,9.32141729796047,0.7751853871868852,16.720544301572996,11.973014089090778,0.22402878863400447,23.886163107736103,7.523587348154356,13.75758072129643,1,308.5725035658106
dt025,candidate,1,9.322440828148554,0.9786537767942143,12.750767438056608,15.700648096089228,0.24698483410912608,31.32279295169801,7.960942288292512,3.6186521771632663,1,304.4961157757789
dt025,candidate,2,9.200983409143435,0.9848456537969347,9.312625235019594,21.497194126010463,0.21241113694396843,42.88690228139087,0.07674526250173129,4.088489471600329,1,304.51479537505656
dt025,candidate,3,9.750925918003215,0.8544187127802492,9.658054874619738,20.728326262267398,0.1876673119602196,41.35301089322346,-1.6496006801570253,0.5685987166687845,1,304.22709758300334
dt04,baseline,0,10.530434663356925,0.7547226728726619,7.525485695945252,26.535805433308578,0.14651134655600048,52.93859931056047,3.5693076664924144,5.737588793234953,1,196.62500707805157
dt04,baseline,1,11.508344053919503,1.0315418575100592,15.810214965286457,12.630746935269885,0.2902500734862003,25.19818185582664,-6.619259557826304,-4.297940689397966,1,190.7974422359839
dt04,baseline,2,11.016863315790317,0.9016145750215129,9.878588937735328,20.214913838142774,0.20053259616443736,40.32849978737255,4.507491704977882,6.285378275631777,1,190.9131143828854
dt04,baseline,3,11.45734780794328,0.8322144514235796,9.393687723281342,21.258405655089618,0.1804969667684656,42.410252885842944,-4.18542188456597,-7.4413207786007725,1,190.80415709223598
dt04,baseline,4,12.143442515009484,1.347506919998546,28.4280089227367,7.024580045739124,0.5084178869228112,14.013949163930683,9.735012783563944,22.69532151521024,0,191.12712747324258
dt04,baseline,5,11.445195715266996,1.5478182790531378,19.294328399039756,10.349923567626663,0.4811177723085142,20.647967819124872,-5.07055186652366,-5.4750649314004685,1,191.0049833408557
dt04,baseline,6,11.050296855260354,1.2309037928677256,28.567099536593325,6.990378003302324,0.46555798466995835,13.945716517866291,-10.208386356112598,-20.013354283329697,0,191.26289998507127
dt04,baseline,7,11.0053568592213,1.2004231017156872,31.85023079201109,6.269807761293803,0.4794101582812685,12.508187914761573,9.204209067571053,15.869558438153879,1,190.8733340180479
dt04,candidate,0,9.910258640456755,0.8137734696320635,10.85091124191073,18.403507296921347,0.18969384002671477,36.714766436965895,-3.2482437543648826,-2.574323276736538,1,195.1712866369635
dt04,candidate,1,9.955477522783104,0.8018143423076547,11.178235452641083,17.864610659240327,0.18970424209466208,35.639674397882956,6.331201730480402,5.533875115016538,1,191.04857993172482
dt04,candidate,2,9.281630444340884,0.898112905834124,30.945528133022606,6.453107646453497,0.3535464512462262,12.87386888866412,11.212065470041441,20.018157436152077,0,191.09327548602596
dt04,candidate,3,9.744630375118598,1.0111173881465205,24.176442892518907,8.259892702434858,0.35181501943259963,16.478382433930193,-7.267478221919213,-11.207868254588021,1,190.81141704600304
dt04,candidate,4,9.380912320132012,0.7649147726881187,15.373091154528648,12.989893978474417,0.21223169629481112,25.914675706430163,7.318049609928593,12.856776781006824,1,190.8608264620416
dt04,candidate,5,9.151927449884129,0.930245853408961,14.67071644828313,13.61179768709385,0.2521389849028277,27.155365811846377,-5.071156419272378,-2.165295815662185,1,190.90069037582725
dt04,candidate,6,9.584516641374414,0.7816490341057016,10.30982788480776,19.369365468555888,0.17760455452927565,38.64164138589094,-1.5143771885023416,-4.801860223210806,1,190.86194151779637
dt04,candidate,7,9.667515484524985,0.9747907804669889,13.924409136342984,14.341349946228062,0.25740465487598124,28.610813426560245,-5.289412768031514,-5.894270243215064,1,190.9282363220118
nominal,baseline,0,11.237562091420594,1.0578033521628474,30.863734394388324,6.4702093942027545,0.41585868028580736,12.907986661116272,9.93648382693982,23.199211828960813,0,157.87787341326475
nominal,baseline,1,11.469522966239223,1.3480080101838339,11.049881988097553,18.072122800393025,0.3170939006655158,36.05365851907982,6.759851482790398,10.381547431381664,1,154.66229156590998
nominal,baseline,2,10.54536610202247,0.9485410010834474,14.554414987233171,13.720566879116621,0.25607670951759104,27.372358986909347,2.4208696090070596,4.5823872090038185,1,153.18496107682586
nominal,baseline,3,11.643121650704465,1.4381491239869588,14.457596648374839,13.812449543001842,0.3869622225525064,27.555663749948536,7.97028976295551,13.875454023154273,1,153.03402703022584
nominal,baseline,4,11.078383421940194,1.2848301780916598,15.931695231296015,12.534436625832013,0.3629053070864213,25.006043995394194,-2.0857016717599954,-1.4503265553343216,1,153.01891318475828
nominal,baseline,5,10.8641560849136,1.267482904573029,12.608756090708479,15.837789452197205,0.3184892864500493,31.59619148859392,8.812373146884278,9.737809320646111,1,153.31463399901986
