case,ky,gamma_reference,gamma_gkx,gamma_relative_difference,omega_reference,omega_gkx,omega_relative_difference,gamma_half_time_shift,omega_half_time_shift,converged
cyclone_salpha_itg,0.05000000074505806,0.009752737358212471,0.009309288577528186,-0.045469160544026256,0.03656241396332488,0.03602613618719156,-0.014667460870369497,0.11005060611436264,0.1383742879052188,False
cyclone_salpha_itg,0.10000000149011612,0.030460807659170207,0.030635451270665692,0.005733387421948692,0.07986773988779854,0.08003538735842479,0.002099063662772619,-0.04354627393407997,0.005966803484733222,True
cyclone_salpha_itg,0.15000000596046448,0.05496720991590444,0.05488795530710376,-0.0014418524957321057,0.1268420622629278,0.12682928801234758,-0.00010070989348735901,-0.0018136911906567513,-0.0004797500828195093,True
cyclone_salpha_itg,0.20000000298023224,0.07501349510515437,0.07503191358739641,0.0002455355828471261,0.1778794360511443,0.17790015744223525,0.00011649121197450206,0.001084539819162205,-0.0003220652297425934,True
cyclone_salpha_itg,0.25,0.08843418342225692,0.08840632812855465,-0.0003149833313807414,0.23042484854950623,0.23041094217164051,-6.035103398464927e-05,0.00021274237401086658,-8.704303396956909e-05,True
cyclone_salpha_itg,0.30000001192092896,0.09302656746962491,0.09304484383977984,0.0001964639849890164,0.28199900949702544,0.2820208078331837,7.729933589876532e-05,3.0202724604749453e-05,-6.411623529617521e-05,True
cyclone_salpha_itg,0.3499999940395355,0.08987026486326666,0.08985312979109639,-0.0001906645339962157,0.3307999460136189,0.3307381035423703,-0.0001869482507292438,0.0005153316406881022,-3.8789655462002116e-05,True
cyclone_salpha_itg,0.4000000059604645,0.08090955588747473,0.0808065042425676,-0.0012736646960519727,0.3749198299996993,0.374968865645276,0.00013078968262819708,0.0012727058855640642,6.64348386307706e-05,True
cyclone_salpha_itg,0.45000001788139343,0.06846924389109892,0.06860508062907547,0.0019839088363909053,0.41537651770255146,0.415491376501616,0.00027651731421847464,-0.0030988536105971604,0.00023232733726860714,True
cyclone_salpha_itg,0.5,0.054081501548781115,0.05419552458434866,0.0021083555800442927,0.4559247704113231,0.4556150176365305,-0.0006793944854392639,-0.011030083634923674,-0.000946992651352558,True
cyclone_salpha_itg,0.550000011920929,0.03448259786647909,0.034520991134793955,0.0011134099717060623,0.4983612158719231,0.49866780096581675,0.0006151865035429084,-0.045560025717638765,-0.0036515854432217026,True
cyclone_miller_itg,0.05000000074505806,0.012326581941610112,0.012035355980355855,-0.02362584880656846,0.02852546870346787,0.028175457794203034,-0.012270119481762756,0.02350501625982649,0.13940435998112255,True
cyclone_miller_itg,0.10000000149011612,0.03264878140491189,0.03293697297395671,0.008827023755363223,0.058446581231303585,0.058676562591310114,0.003934898417691406,-0.006541550234069081,0.01700169244373838,True
cyclone_miller_itg,0.15000000596046448,0.058397779639050795,0.05836878321153761,-0.0004965330478729009,0.09182113665834214,0.09183882744298888,0.0001926657117365361,-0.006080117568139554,-0.003552250354183399,True
cyclone_miller_itg,0.20000000298023224,0.0848520639741305,0.08483831484795074,-0.00016203643772248397,0.12954627780370342,0.12954521803049196,-8.180653504152473e-06,0.00063807760465246,6.118324144087534e-05,True
cyclone_miller_itg,0.25,0.10799054844865522,0.10798722026579315,-3.081920510526901e-05,0.17118204291005737,0.17117585358491325,-3.615639256844029e-05,0.00010576011793880567,-2.360673633739656e-05,True
