label,shape,state_elements,steps,serial_median_s,two_device_median_s,speedup_vs_serial,parallel_efficiency,serial_ns_per_element_step,two_device_ns_per_element_step,final_state_max_abs_error,identity_passed,speedup_gate_passed
stellarator_production_96x96x48,"[4, 8, 96, 96, 48]",14155776,4,0.033476018346846104,0.023400543723255396,1.43056583397153,0.715282916985765,0.5912077576468804,0.4132684729409288,7.450580596923828e-09,True,False
tracked_96x96x32,"[4, 16, 96, 96, 32]",18874368,4,0.044517965987324715,0.03007117798551917,1.480419756378098,0.740209878189049,0.5896616775105359,0.398307084845426,7.450580596923828e-09,True,False
tracked_96x96x32_window16,"[4, 16, 96, 96, 32]",18874368,16,0.17828340688720345,0.12004410242661834,1.4851492350170736,0.7425746175085368,0.5903621742698996,0.397510337917733,7.450580596923828e-09,True,False
tracked_96x96x32_window64,"[4, 16, 96, 96, 32]",18874368,64,0.7132667922414839,0.47985604498535395,1.48641827001107,0.743209135005535,0.5904724136338333,0.39724512645383175,2.9802322387695312e-08,True,False
perp128_128x128x32,"[4, 16, 128, 128, 32]",33554432,4,0.06930850399658084,0.05366224097087979,1.2915693184373647,0.6457846592186823,0.5163885950787428,0.3998148513650879,7.450580596923828e-09,True,False
z64_96x96x64,"[4, 16, 96, 96, 64]",37748736,4,0.0877075451426208,0.06272611999884248,1.3982619225330584,0.6991309612665292,0.5808641191497167,0.4154186778521702,7.450580596923828e-09,True,False
perp128_128x128x64,"[4, 16, 128, 128, 64]",67108864,4,0.13527654483914375,0.10770380776375532,1.2560052206869816,0.6280026103434908,0.5039444000987103,0.4012279501697247,7.450580596923828e-09,True,False
perp128_128x128x64_window16,"[4, 16, 128, 128, 64]",67108864,16,0.5501769371330738,0.4322462580166757,1.2728321574315362,0.6364160787157681,0.5123922015848326,0.40256069788399684,1.210719347000122e-08,True,False
