family,n,m,baseline,candidate,delta
RBC,-1,1,-2.4295864215155956e-02,-2.4340471693446455e-02,-4.4607478290499547e-05
RBC,0,1,1.8573663383895966e-01,1.8059392152710374e-01,-5.1427123118559237e-03
RBC,1,0,-1.1781023633445274e-01,-1.2793983188188224e-01,-1.0129595547429496e-02
RBC,1,1,9.8685884905628629e-02,1.0041577803586357e-01,1.7298931302349441e-03
ZBS,-1,1,-2.8522223895065316e-02,-2.6536350617382267e-02,1.9858732776830493e-03
ZBS,0,1,2.6356569395290746e-01,2.8551573866320917e-01,2.1950044710301708e-02
ZBS,1,0,7.3080505607384438e-02,5.6781003519832347e-02,-1.6299502087552091e-02
ZBS,1,1,-1.4677837166245192e-01,-1.6983813463150915e-01,-2.3059762969057235e-02
