source,key,configuration,Nl,status,gamma,omega,gamma_half_time_shift,omega_half_time_shift,settled,gamma_rel_change_from_prev_nl,runner_scan_seconds,process_wall_seconds,peak_rss_kb,peak_device_mb
q3,full_nl24,full,24,ok,0.032827982476909594,0.5001081051740415,0.017399809997407832,-0.005648465053793675,True,,209.02356310887262,320.56,1239900,103.00048828125
q3,full_nl32,full,32,ok,0.024995773878731965,0.5048209729657315,-0.13988659539538764,0.00974647594618158,False,-0.2385833062901936,335.6387907641474,505.91,1240436,53.780029296875
q3,full_nl48,full,48,ok,0.019771772857001085,0.4969194763943846,0.05656502877908262,0.00010884342371036308,False,-0.20899537046043615,490.729669873137,738.46,1240352,93.30419921875
q3,nu1e-3_nl24,nu1e-3,24,ok,0.029127443559562774,0.49733270627727577,0.010076467246711308,-0.0005005776053161964,True,,233.67295052600093,355.29,1262808,103.00048828125
q3,nu1e-3_nl32,nu1e-3,32,ok,0.017411819167885093,0.501086523906265,-0.038366096968400654,-6.482240602807863e-05,True,-0.4022194521712959,329.7549659151118,497.83,1250004,85.780029296875
q3,nu1e-2_nl24,nu1e-2,24,ok,0.017437760487491735,0.49576906629342365,2.4172085400784045e-05,4.1048177890009505e-06,True,,237.87597013707273,359.52,1262780,103.00048828125
q3,nu1e-2_nl32,nu1e-2,32,ok,0.017165697128300794,0.49570539900209504,2.3036591928538585e-05,4.206897342321039e-06,True,-0.015601966742581073,329.7435192090925,497.33,1249492,85.780029296875
